cwd	index	list	session	busy	event	cwd'	index'	list'	session'	busy'
A	A	-	-	1	index:A	A	A	-	-	1
A	A	-	-	1	index:B	A	A	-	-	1
A	A	-	-	1	list:A	A	A	A	-	1
A	A	-	-	1	list:B	A	A	-	-	1
A	A	-	-	1	select	A	A	-	-	1
A	A	-	-	1	submit	A	A	-	-	1
A	A	-	-	1	finish	A	A	-	A	0
A	A	-	-	1	new_chat	A	A	-	-	1
A	A	-	A	0	change:A:0	A	A	-	A	0
A	A	-	A	0	change:A:1	A	-	-	-	0
A	A	-	A	0	change:B:0	A	A	-	A	0
A	A	-	A	0	change:B:1	B	-	-	-	0
A	A	-	A	0	index:A	A	A	-	A	0
A	A	-	A	0	index:B	A	A	-	A	0
A	A	-	A	0	list:A	A	A	A	A	0
A	A	-	A	0	list:B	A	A	-	A	0
A	A	-	A	0	select	A	A	-	A	0
A	A	-	A	0	submit	A	A	-	A	1
A	A	-	A	0	finish	A	A	-	A	0
A	A	-	A	0	new_chat	A	A	-	-	0
A	A	-	A	1	change:A:0	A	A	-	A	1
A	A	-	A	1	change:A:1	A	A	-	A	1
A	A	-	A	1	change:B:0	A	A	-	A	1
A	A	-	A	1	change:B:1	A	A	-	A	1
A	A	-	A	1	index:A	A	A	-	A	1
A	A	-	A	1	index:B	A	A	-	A	1
A	A	-	A	1	list:A	A	A	A	A	1
A	A	-	A	1	list:B	A	A	-	A	1
A	A	-	A	1	select	A	A	-	A	1
A	A	-	A	1	submit	A	A	-	A	1
A	A	-	A	1	finish	A	A	-	A	0
A	A	-	A	1	new_chat	A	A	-	A	1
A	A	A	-	0	change:A:0	A	A	A	-	0
A	A	A	-	0	change:A:1	A	-	-	-	0
A	A	A	-	0	change:B:0	A	A	A	-	0
A	A	A	-	0	change:B:1	B	-	-	-	0
A	A	A	-	0	index:A	A	A	A	-	0
A	A	A	-	0	index:B	A	A	A	-	0
A	A	A	-	0	list:A	A	A	A	-	0
A	A	A	-	0	list:B	A	A	A	-	0
A	A	A	-	0	select	A	A	A	A	0
A	A	A	-	0	submit	A	A	A	-	1
A	A	A	-	0	finish	A	A	A	-	0
A	A	A	-	0	new_chat	A	A	A	-	0
A	A	A	-	1	change:A:0	A	A	A	-	1
A	A	A	-	1	change:A:1	A	A	A	-	1
A	A	A	-	1	change:B:0	A	A	A	-	1
A	A	A	-	1	change:B:1	A	A	A	-	1
A	A	A	-	1	index:A	A	A	A	-	1
A	A	A	-	1	index:B	A	A	A	-	1
A	A	A	-	1	list:A	A	A	A	-	1
A	A	A	-	1	list:B	A	A	A	-	1
A	A	A	-	1	select	A	A	A	-	1
A	A	A	-	1	submit	A	A	A	-	1
A	A	A	-	1	finish	A	A	A	A	0
A	A	A	-	1	new_chat	A	A	A	-	1
A	A	A	A	0	change:A:0	A	A	A	A	0
A	A	A	A	0	change:A:1	A	-	-	-	0
A	A	A	A	0	change:B:0	A	A	A	A	0
A	A	A	A	0	change:B:1	B	-	-	-	0
A	A	A	A	0	index:A	A	A	A	A	0
A	A	A	A	0	index:B	A	A	A	A	0
A	A	A	A	0	list:A	A	A	A	A	0
A	A	A	A	0	list:B	A	A	A	A	0
A	A	A	A	0	select	A	A	A	A	0
A	A	A	A	0	submit	A	A	A	A	1
A	A	A	A	0	finish	A	A	A	A	0
A	A	A	A	0	new_chat	A	A	A	-	0
A	A	A	A	1	change:A:0	A	A	A	A	1
A	A	A	A	1	change:A:1	A	A	A	A	1
A	A	A	A	1	change:B:0	A	A	A	A	1
A	A	A	A	1	change:B:1	A	A	A	A	1
A	A	A	A	1	index:A	A	A	A	A	1
A	A	A	A	1	index:B	A	A	A	A	1
A	A	A	A	1	list:A	A	A	A	A	1
A	A	A	A	1	list:B	A	A	A	A	1
A	A	A	A	1	select	A	A	A	A	1
A	A	A	A	1	submit	A	A	A	A	1
A	A	A	A	1	finish	A	A	A	A	0
A	A	A	A	1	new_chat	A	A	A	A	1
B	-	-	-	0	change:A:0	B	-	-	-	0
B	-	-	-	0	change:A:1	A	-	-	-	0
B	-	-	-	0	change:B:0	B	-	-	-	0
B	-	-	-	0	change:B:1	B	-	-	-	0
B	-	-	-	0	index:A	B	-	-	-	0
B	-	-	-	0	index:B	B	B	-	-	0
B	-	-	-	0	list:A	B	-	-	-	0
B	-	-	-	0	list:B	B	-	B	-	0
B	-	-	-	0	select	B	-	-	-	0
B	-	-	-	0	submit	B	-	-	-	1
B	-	-	-	0	finish	B	-	-	-	0
B	-	-	-	0	new_chat	B	-	-	-	0
B	-	-	-	1	change:A:0	B	-	-	-	1
B	-	-	-	1	change:A:1	B	-	-	-	1
B	-	-	-	1	change:B:0	B	-	-	-	1
B	-	-	-	1	change:B:1	B	-	-	-	1
B	-	-	-	1	index:A	B	-	-	-	1
B	-	-	-	1	index:B	B	B	-	-	1
B	-	-	-	1	list:A	B	-	-	-	1
B	-	-	-	1	list:B	B	-	B	-	1
B	-	-	-	1	select	B	-	-	-	1
B	-	-	-	1	submit	B	-	-	-	1
B	-	-	-	1	finish	B	-	-	B	0
B	-	-	-	1	new_chat	B	-	-	-	1
B	-	-	B	0	change:A:0	B	-	-	B	0
B	-	-	B	0	change:A:1	A	-	-	-	0
B	-	-	B	0	change:B:0	B	-	-	B	0
B	-	-	B	0	change:B:1	B	-	-	-	0
B	-	-	B	0	index:A	B	-	-	B	0
B	-	-	B	0	index:B	B	B	-	B	0
B	-	-	B	0	list:A	B	-	-	B	0
B	-	-	B	0	list:B	B	-	B	B	0
B	-	-	B	0	select	B	-	-	B	0
B	-	-	B	0	submit	B	-	-	B	1
B	-	-	B	0	finish	B	-	-	B	0
B	-	-	B	0	new_chat	B	-	-	-	0
B	-	-	B	1	change:A:0	B	-	-	B	1
B	-	-	B	1	change:A:1	B	-	-	B	1
B	-	-	B	1	change:B:0	B	-	-	B	1
B	-	-	B	1	change:B:1	B	-	-	B	1
B	-	-	B	1	index:A	B	-	-	B	1
B	-	-	B	1	index:B	B	B	-	B	1
B	-	-	B	1	list:A	B	-	-	B	1
B	-	-	B	1	list:B	B	-	B	B	1
B	-	-	B	1	select	B	-	-	B	1
B	-	-	B	1	submit	B	-	-	B	1
B	-	-	B	1	finish	B	-	-	B	0
B	-	-	B	1	new_chat	B	-	-	B	1
B	-	B	-	0	change:A:0	B	-	B	-	0
B	-	B	-	0	change:A:1	A	-	-	-	0
B	-	B	-	0	change:B:0	B	-	B	-	0
B	-	B	-	0	change:B:1	B	-	-	-	0
B	-	B	-	0	index:A	B	-	B	-	0
B	-	B	-	0	index:B	B	B	B	-	0
B	-	B	-	0	list:A	B	-	B	-	0
B	-	B	-	0	list:B	B	-	B	-	0
B	-	B	-	0	select	B	-	B	B	0
B	-	B	-	0	submit	B	-	B	-	1
B	-	B	-	0	finish	B	-	B	-	0
B	-	B	-	0	new_chat	B	-	B	-	0
B	-	B	-	1	change:A:0	B	-	B	-	1
B	-	B	-	1	change:A:1	B	-	B	-	1
B	-	B	-	1	change:B:0	B	-	B	-	1
B	-	B	-	1	change:B:1	B	-	B	-	1
B	-	B	-	1	index:A	B	-	B	-	1
B	-	B	-	1	index:B	B	B	B	-	1
B	-	B	-	1	list:A	B	-	B	-	1
B	-	B	-	1	list:B	B	-	B	-	1
B	-	B	-	1	select	B	-	B	-	1
B	-	B	-	1	submit	B	-	B	-	1
B	-	B	-	1	finish	B	-	B	B	0
B	-	B	-	1	new_chat	B	-	B	-	1
B	-	B	B	0	change:A:0	B	-	B	B	0
B	-	B	B	0	change:A:1	A	-	-	-	0
B	-	B	B	0	change:B:0	B	-	B	B	0
B	-	B	B	0	change:B:1	B	-	-	-	0
B	-	B	B	0	index:A	B	-	B	B	0
B	-	B	B	0	index:B	B	B	B	B	0
B	-	B	B	0	list:A	B	-	B	B	0
B	-	B	B	0	list:B	B	-	B	B	0
B	-	B	B	0	select	B	-	B	B	0
B	-	B	B	0	submit	B	-	B	B	1
B	-	B	B	0	finish	B	-	B	B	0
B	-	B	B	0	new_chat	B	-	B	-	0
B	-	B	B	1	change:A:0	B	-	B	B	1
B	-	B	B	1	change:A:1	B	-	B	B	1
B	-	B	B	1	change:B:0	B	-	B	B	1
B	-	B	B	1	change:B:1	B	-	B	B	1
B	-	B	B	1	index:A	B	-	B	B	1
B	-	B	B	1	index:B	B	B	B	B	1
B	-	B	B	1	list:A	B	-	B	B	1
B	-	B	B	1	list:B	B	-	B	B	1
B	-	B	B	1	select	B	-	B	B	1
B	-	B	B	1	submit	B	-	B	B	1
B	-	B	B	1	finish	B	-	B	B	0
B	-	B	B	1	new_chat	B	-	B	B	1
B	B	-	-	0	change:A:0	B	B	-	-	0
B	B	-	-	0	change:A:1	A	-	-	-	0
B	B	-	-	0	change:B:0	B	B	-	-	0
B	B	-	-	0	change:B:1	B	-	-	-	0
B	B	-	-	0	index:A	B	B	-	-	0
B	B	-	-	0	index:B	B	B	-	-	0
B	B	-	-	0	list:A	B	B	-	-	0
B	B	-	-	0	list:B	B	B	B	-	0
B	B	-	-	0	select	B	B	-	-	0
B	B	-	-	0	submit	B	B	-	-	1
B	B	-	-	0	finish	B	B	-	-	0
B	B	-	-	0	new_chat	B	B	-	-	0
B	B	-	-	1	change:A:0	B	B	-	-	1
B	B	-	-	1	change:A:1	B	B	-	-	1
B	B	-	-	1	change:B:0	B	B	-	-	1
B	B	-	-	1	change:B:1	B	B	-	-	1
B	B	-	-	1	index:A	B	B	-	-	1
B	B	-	-	1	index:B	B	B	-	-	1
B	B	-	-	1	list:A	B	B	-	-	1
B	B	-	-	1	list:B	B	B	B	-	1
B	B	-	-	1	select	B	B	-	-	1
B	B	-	-	1	submit	B	B	-	-	1
B	B	-	-	1	finish	B	B	-	B	0
B	B	-	-	1	new_chat	B	B	-	-	1
B	B	-	B	0	change:A:0	B	B	-	B	0
B	B	-	B	0	change:A:1	A	-	-	-	0
B	B	-	B	0	change:B:0	B	B	-	B	0
B	B	-	B	0	change:B:1	B	-	-	-	0
B	B	-	B	0	index:A	B	B	-	B	0
B	B	-	B	0	index:B	B	B	-	B	0
B	B	-	B	0	list:A	B	B	-	B	0
B	B	-	B	0	list:B	B	B	B	B	0
B	B	-	B	0	select	B	B	-	B	0
B	B	-	B	0	submit	B	B	-	B	1
B	B	-	B	0	finish	B	B	-	B	0
B	B	-	B	0	new_chat	B	B	-	-	0
B	B	-	B	1	change:A:0	B	B	-	B	1
B	B	-	B	1	change:A:1	B	B	-	B	1
B	B	-	B	1	change:B:0	B	B	-	B	1
B	B	-	B	1	change:B:1	B	B	-	B	1
B	B	-	B	1	index:A	B	B	-	B	1
B	B	-	B	1	index:B	B	B	-	B	1
B	B	-	B	1	list:A	B	B	-	B	1
B	B	-	B	1	list:B	B	B	B	B	1
B	B	-	B	1	select	B	B	-	B	1
B	B	-	B	1	submit	B	B	-	B	1
B	B	-	B	1	finish	B	B	-	B	0
B	B	-	B	1	new_chat	B	B	-	B	1
B	B	B	-	0	change:A:0	B	B	B	-	0
B	B	B	-	0	change:A:1	A	-	-	-	0
B	B	B	-	0	change:B:0	B	B	B	-	0
B	B	B	-	0	change:B:1	B	-	-	-	0
B	B	B	-	0	index:A	B	B	B	-	0
B	B	B	-	0	index:B	B	B	B	-	0
B	B	B	-	0	list:A	B	B	B	-	0
B	B	B	-	0	list:B	B	B	B	-	0
B	B	B	-	0	select	B	B	B	B	0
B	B	B	-	0	submit	B	B	B	-	1
B	B	B	-	0	finish	B	B	B	-	0
B	B	B	-	0	new_chat	B	B	B	-	0
B	B	B	-	1	change:A:0	B	B	B	-	1
B	B	B	-	1	change:A:1	B	B	B	-	1
B	B	B	-	1	change:B:0	B	B	B	-	1
B	B	B	-	1	change:B:1	B	B	B	-	1
B	B	B	-	1	index:A	B	B	B	-	1
B	B	B	-	1	index:B	B	B	B	-	1
B	B	B	-	1	list:A	B	B	B	-	1
B	B	B	-	1	list:B	B	B	B	-	1
B	B	B	-	1	select	B	B	B	-	1
B	B	B	-	1	submit	B	B	B	-	1
B	B	B	-	1	finish	B	B	B	B	0
B	B	B	-	1	new_chat	B	B	B	-	1
B	B	B	B	0	change:A:0	B	B	B	B	0
B	B	B	B	0	change:A:1	A	-	-	-	0
B	B	B	B	0	change:B:0	B	B	B	B	0
B	B	B	B	0	change:B:1	B	-	-	-	0
B	B	B	B	0	index:A	B	B	B	B	0
B	B	B	B	0	index:B	B	B	B	B	0
B	B	B	B	0	list:A	B	B	B	B	0
B	B	B	B	0	list:B	B	B	B	B	0
B	B	B	B	0	select	B	B	B	B	0
B	B	B	B	0	submit	B	B	B	B	1
B	B	B	B	0	finish	B	B	B	B	0
B	B	B	B	0	new_chat	B	B	B	-	0
B	B	B	B	1	change:A:0	B	B	B	B	1
B	B	B	B	1	change:A:1	B	B	B	B	1
B	B	B	B	1	change:B:0	B	B	B	B	1
B	B	B	B	1	change:B:1	B	B	B	B	1
B	B	B	B	1	index:A	B	B	B	B	1
B	B	B	B	1	index:B	B	B	B	B	1
B	B	B	B	1	list:A	B	B	B	B	1
B	B	B	B	1	list:B	B	B	B	B	1
B	B	B	B	1	select	B	B	B	B	1
B	B	B	B	1	submit	B	B	B	B	1
B	B	B	B	1	finish	B	B	B	B	0
B	B	B	B	1	new_chat	B	B	B	B	1
